,User ID,Age (yrs),Gender,Country,Social Media Platform Used,Total Time Spent on the Platform (mins),Number of Logging In Sessions,Video Category,Time Spent On Video (mins),Videos Watched Count,Time of Day Usage Frequency,Impact on Productivity,User's Satisfaction with Platform,Video Motivation,Primary Device of Use,Perceived Self Control Level,Perceived Addiction Level,Concurrent Activity,Internet Connection Type,Age Band (yrs),Economic Group
20,21,47,Male,India,YouTube,286,2,Vlogs,18,49,Afternoon,5,5,Habit,Tablet,7,3,Commuting,Mobile Data,45-54 (Older Adults),Developing
21,22,55,Male,Brazil,Facebook,236,11,Entertainment,15,36,Afternoon,5,5,Boredom,Computer,7,3,Commuting,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
22,23,19,Female,Indonesia,Instagram,242,10,Entertainment,2,48,Night,3,7,Boredom,Smartphone,5,5,At work,Mobile Data,18-24 (Youth),Developing
23,24,38,Female,India,Facebook,49,3,Pranks,11,23,Evening,6,4,Habit,Smartphone,8,2,At home,Mobile Data,35-44 (Mid Adults),Developing
24,25,50,Male,Germany,TikTok,162,10,Jokes/Memes,29,15,Evening,6,4,Boredom,Smartphone,8,2,At home,Mobile Data,45-54 (Older Adults),Developed
25,26,29,Male,Japan,TikTok,136,18,Jokes/Memes,14,46,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Wi-Fi,25-44 (Young Adults),Developed
26,27,39,Male,Japan,YouTube,246,14,Gaming,22,44,Evening,6,4,Habit,Smartphone,8,2,Commuting,Mobile Data,35-44 (Mid Adults),Developed
27,28,61,Other,Vietnam,Instagram,64,18,Life Hacks,15,3,Night,3,7,Habit,Smartphone,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
28,29,42,Female,India,TikTok,181,8,Entertainment,14,32,Evening,6,4,Boredom,Smartphone,8,2,At work,Mobile Data,35-44 (Mid Adults),Developing
29,30,44,Male,India,TikTok,118,10,Pranks,16,10,Evening,6,4,Entertainment,Smartphone,8,2,At home,Wi-Fi,35-44 (Mid Adults),Developing
30,31,59,Male,United States,Instagram,193,13,Pranks,23,40,Morning,8,2,Habit,Smartphone,10,0,At school,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
31,32,45,Male,United States,Facebook,207,8,Jokes/Memes,29,38,Afternoon,5,5,Habit,Smartphone,7,3,At home,Mobile Data,45-54 (Older Adults),Developed
32,33,33,Male,India,Instagram,96,4,Trends,15,22,Night,3,7,Boredom,Tablet,5,5,Commuting,Mobile Data,25-44 (Young Adults),Developing
33,34,32,Other,Mexico,Facebook,210,4,Trends,19,14,Evening,6,4,Entertainment,Smartphone,8,2,At work,Mobile Data,25-44 (Young Adults),Developing
34,35,64,Female,Vietnam,TikTok,284,5,Entertainment,27,17,Evening,6,4,Entertainment,Tablet,8,2,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
35,36,61,Other,Mexico,TikTok,220,1,Jokes/Memes,9,21,Night,3,7,Procrastination,Smartphone,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
36,37,20,Male,United States,TikTok,127,17,Entertainment,5,48,Night,3,7,Entertainment,Tablet,5,5,At home,Mobile Data,18-24 (Youth),Developed
37,38,54,Male,Philippines,YouTube,200,2,Jokes/Memes,5,15,Afternoon,5,5,Boredom,Smartphone,7,3,At school,Wi-Fi,45-54 (Older Adults),Developing
38,39,24,Male,Brazil,YouTube,51,8,Jokes/Memes,11,15,Night,3,7,Habit,Smartphone,5,5,At home,Mobile Data,18-24 (Youth),Developing
39,40,38,Male,Germany,YouTube,51,7,ASMR,28,1,Afternoon,5,5,Boredom,Tablet,7,3,Commuting,Mobile Data,35-44 (Mid Adults),Developed
40,41,26,Male,Pakistan,Instagram,285,15,Comedy,20,24,Evening,6,4,Boredom,Smartphone,8,2,At work,Mobile Data,25-44 (Young Adults),Developing
41,42,56,Male,India,TikTok,26,5,ASMR,25,12,Evening,6,4,Habit,Smartphone,8,2,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
42,43,35,Other,Indonesia,TikTok,292,2,Life Hacks,24,10,Morning,8,2,Entertainment,Tablet,10,0,At home,Mobile Data,35-44 (Mid Adults),Developing
43,44,21,Female,Pakistan,Instagram,267,7,Gaming,28,46,Night,3,7,Entertainment,Tablet,5,5,At school,Mobile Data,18-24 (Youth),Developing
44,45,42,Other,Philippines,YouTube,72,8,Gaming,4,42,Evening,6,4,Boredom,Smartphone,8,2,Commuting,Mobile Data,35-44 (Mid Adults),Developing
45,46,31,Female,Pakistan,Instagram,71,7,Comedy,20,42,Evening,6,4,Procrastination,Smartphone,8,2,At home,Mobile Data,25-44 (Young Adults),Developing
46,47,26,Male,Vietnam,YouTube,109,7,Trends,18,31,Afternoon,5,5,Procrastination,Smartphone,7,3,At school,Mobile Data,25-44 (Young Adults),Developing
47,48,43,Male,Japan,TikTok,28,14,Pranks,25,11,Night,3,7,Entertainment,Tablet,5,5,At work,Mobile Data,35-44 (Mid Adults),Developed
48,49,19,Female,India,Facebook,26,18,Trends,3,16,Evening,6,4,Boredom,Tablet,8,2,At school,Wi-Fi,18-24 (Youth),Developing
49,50,37,Male,United States,YouTube,255,6,Life Hacks,4,9,Afternoon,5,5,Procrastination,Smartphone,7,3,At home,Mobile Data,35-44 (Mid Adults),Developed
50,51,45,Female,United States,TikTok,260,4,Entertainment,14,47,Afternoon,5,5,Entertainment,Tablet,7,3,At home,Wi-Fi,45-54 (Older Adults),Developed
51,52,64,Other,Mexico,TikTok,90,10,Entertainment,7,14,Evening,6,4,Entertainment,Tablet,8,2,At home,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
52,53,24,Male,Germany,Facebook,48,18,Pranks,26,19,Evening,6,4,Boredom,Tablet,8,2,Commuting,Mobile Data,18-24 (Youth),Developed
53,54,61,Male,Vietnam,TikTok,45,12,Trends,8,31,Afternoon,5,5,Procrastination,Computer,7,3,At work,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
54,55,25,Other,India,TikTok,206,16,Life Hacks,24,9,Evening,6,4,Habit,Smartphone,8,2,At home,Mobile Data,25-44 (Young Adults),Developing
55,56,64,Male,Japan,YouTube,167,7,Life Hacks,16,36,Night,3,7,Boredom,Smartphone,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
56,57,52,Male,Indonesia,YouTube,213,6,Jokes/Memes,20,39,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Mobile Data,45-54 (Older Adults),Developing
57,58,31,Male,United States,Facebook,205,5,Entertainment,15,26,Afternoon,5,5,Habit,Smartphone,7,3,At home,Mobile Data,25-44 (Young Adults),Developed
58,59,34,Male,Vietnam,Facebook,225,3,Vlogs,7,8,Night,3,7,Entertainment,Tablet,5,5,At school,Mobile Data,25-44 (Young Adults),Developing
59,60,53,Male,Japan,TikTok,294,12,Life Hacks,26,24,Night,3,7,Habit,Smartphone,5,5,At home,Mobile Data,45-54 (Older Adults),Developed
60,61,57,Female,Germany,YouTube,205,15,Entertainment,17,8,Afternoon,5,5,Entertainment,Smartphone,7,3,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
61,62,21,Other,United States,Facebook,161,10,Jokes/Memes,22,19,Afternoon,5,5,Procrastination,Smartphone,7,3,Commuting,Wi-Fi,18-24 (Youth),Developed
62,63,19,Male,United States,Facebook,23,19,Entertainment,22,47,Evening,6,4,Habit,Computer,8,2,At school,Mobile Data,18-24 (Youth),Developed
63,64,23,Male,Vietnam,Instagram,155,16,ASMR,22,48,Evening,6,4,Boredom,Computer,8,2,Commuting,Wi-Fi,18-24 (Youth),Developing
64,65,59,Male,United States,Facebook,66,11,Life Hacks,12,30,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
65,66,21,Other,India,TikTok,220,8,Life Hacks,18,22,Afternoon,5,5,Habit,Smartphone,7,3,At home,Mobile Data,18-24 (Youth),Developing
66,67,46,Other,India,YouTube,277,3,Gaming,24,9,Evening,6,4,Boredom,Smartphone,8,2,Commuting,Mobile Data,45-54 (Older Adults),Developing
67,68,35,Male,Mexico,Facebook,219,7,Trends,14,44,Evening,6,4,Boredom,Smartphone,8,2,At home,Mobile Data,35-44 (Mid Adults),Developing
68,69,43,Male,Vietnam,Instagram,26,7,Life Hacks,15,48,Night,3,7,Habit,Smartphone,5,5,At home,Wi-Fi,35-44 (Mid Adults),Developing
69,70,61,Female,Mexico,YouTube,295,14,Gaming,15,4,Evening,6,4,Habit,Computer,8,2,At home,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
70,71,51,Female,Vietnam,Facebook,212,2,Pranks,5,37,Afternoon,5,5,Entertainment,Tablet,7,3,At school,Mobile Data,45-54 (Older Adults),Developing
71,72,27,Male,Indonesia,Instagram,108,10,Life Hacks,16,8,Night,3,7,Boredom,Smartphone,5,5,At home,Wi-Fi,25-44 (Young Adults),Developing
72,73,53,Male,Vietnam,Facebook,288,19,Comedy,5,1,Evening,6,4,Entertainment,Computer,8,2,At school,Mobile Data,45-54 (Older Adults),Developing
73,74,31,Female,Germany,YouTube,218,9,Jokes/Memes,2,28,Night,3,7,Boredom,Smartphone,5,5,At home,Mobile Data,25-44 (Young Adults),Developed
74,75,48,Other,Philippines,YouTube,138,16,Jokes/Memes,20,6,Night,3,7,Procrastination,Computer,5,5,At school,Mobile Data,45-54 (Older Adults),Developing
75,76,32,Male,United States,YouTube,297,19,Jokes/Memes,28,47,Night,3,7,Habit,Smartphone,5,5,At home,Mobile Data,25-44 (Young Adults),Developed
76,77,25,Female,India,TikTok,261,18,Pranks,25,36,Night,3,7,Procrastination,Smartphone,5,5,Commuting,Wi-Fi,25-44 (Young Adults),Developing
77,78,31,Male,India,Facebook,274,9,Life Hacks,9,11,Afternoon,5,5,Procrastination,Tablet,7,3,Commuting,Mobile Data,25-44 (Young Adults),Developing
78,79,40,Other,Japan,TikTok,280,16,Vlogs,22,5,Evening,6,4,Boredom,Smartphone,8,2,At school,Wi-Fi,35-44 (Mid Adults),Developed
79,80,57,Male,United States,YouTube,197,13,Jokes/Memes,27,24,Night,3,7,Habit,Tablet,5,5,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
80,81,38,Male,United States,Instagram,223,10,Gaming,9,47,Evening,6,4,Habit,Smartphone,8,2,At home,Mobile Data,35-44 (Mid Adults),Developed
81,82,33,Male,Pakistan,Facebook,292,14,Jokes/Memes,4,18,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Mobile Data,25-44 (Young Adults),Developing
82,83,62,Male,Philippines,TikTok,220,12,Pranks,15,20,Evening,6,4,Entertainment,Smartphone,8,2,Commuting,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
83,84,35,Male,India,Facebook,85,19,Entertainment,11,28,Afternoon,5,5,Boredom,Smartphone,7,3,At work,Mobile Data,35-44 (Mid Adults),Developing
84,85,64,Male,Brazil,Instagram,157,7,Jokes/Memes,1,13,Night,3,7,Boredom,Tablet,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
85,86,41,Other,India,TikTok,222,15,Life Hacks,18,5,Night,3,7,Entertainment,Smartphone,5,5,At home,Wi-Fi,35-44 (Mid Adults),Developing
86,87,43,Female,Indonesia,YouTube,118,16,Trends,29,30,Night,3,7,Habit,Computer,5,5,At home,Wi-Fi,35-44 (Mid Adults),Developing
87,88,42,Other,United States,TikTok,138,8,Life Hacks,1,1,Night,3,7,Entertainment,Computer,5,5,At home,Mobile Data,35-44 (Mid Adults),Developed
88,89,62,Female,United States,Facebook,19,10,Jokes/Memes,8,22,Night,3,7,Boredom,Smartphone,5,5,At work,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
89,90,58,Female,Germany,Facebook,56,4,Jokes/Memes,25,18,Night,3,7,Entertainment,Smartphone,5,5,At school,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
90,91,46,Male,United States,Facebook,105,19,Jokes/Memes,16,46,Afternoon,5,5,Boredom,Tablet,7,3,At school,Mobile Data,45-54 (Older Adults),Developed
91,92,32,Male,India,Facebook,112,19,Jokes/Memes,26,5,Night,3,7,Boredom,Smartphone,5,5,Commuting,Wi-Fi,25-44 (Young Adults),Developing
92,93,62,Female,India,YouTube,155,15,Trends,28,31,Night,3,7,Habit,Smartphone,5,5,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
93,94,18,Male,India,TikTok,36,14,Vlogs,22,6,Night,3,7,Boredom,Tablet,5,5,At work,Wi-Fi,18-24 (Youth),Developing
94,95,42,Other,Vietnam,YouTube,229,1,Life Hacks,18,27,Evening,6,4,Habit,Computer,8,2,At work,Wi-Fi,35-44 (Mid Adults),Developing
95,96,24,Other,Pakistan,YouTube,27,16,Jokes/Memes,22,25,Morning,8,2,Habit,Smartphone,10,0,At home,Wi-Fi,18-24 (Youth),Developing
96,97,26,Male,United States,YouTube,176,10,ASMR,9,29,Evening,6,4,Boredom,Smartphone,8,2,At home,Wi-Fi,25-44 (Young Adults),Developed
97,98,41,Female,United States,Facebook,91,19,Jokes/Memes,12,28,Afternoon,5,5,Entertainment,Tablet,7,3,At work,Mobile Data,35-44 (Mid Adults),Developed
98,99,18,Male,India,Facebook,81,3,ASMR,19,16,Night,3,7,Entertainment,Smartphone,5,5,At work,Wi-Fi,18-24 (Youth),Developing
99,100,61,Female,Mexico,Facebook,263,5,Pranks,25,12,Evening,6,4,Boredom,Tablet,8,2,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
100,101,25,Male,Germany,TikTok,171,9,Vlogs,18,20,Afternoon,5,5,Boredom,Tablet,7,3,At work,Wi-Fi,25-44 (Young Adults),Developed
101,102,41,Male,Germany,Instagram,47,18,Jokes/Memes,27,18,Night,3,7,Boredom,Smartphone,5,5,Commuting,Mobile Data,35-44 (Mid Adults),Developed
102,103,28,Male,India,Facebook,210,11,Jokes/Memes,5,34,Night,3,7,Entertainment,Smartphone,5,5,At school,Wi-Fi,25-44 (Young Adults),Developing
103,104,34,Female,Japan,TikTok,209,16,Gaming,27,23,Night,3,7,Habit,Tablet,5,5,At work,Mobile Data,25-44 (Young Adults),Developed
104,105,25,Female,India,Facebook,264,2,Gaming,2,45,Night,3,7,Habit,Smartphone,5,5,At home,Mobile Data,25-44 (Young Adults),Developing
105,106,52,Male,Philippines,Facebook,188,12,Comedy,7,27,Evening,6,4,Entertainment,Smartphone,8,2,At home,Mobile Data,45-54 (Older Adults),Developing
106,107,52,Female,Japan,YouTube,44,6,Jokes/Memes,27,49,Night,3,7,Habit,Smartphone,5,5,At home,Mobile Data,45-54 (Older Adults),Developed
107,108,50,Male,Brazil,YouTube,91,11,Pranks,10,17,Night,3,7,Entertainment,Smartphone,5,5,At work,Wi-Fi,45-54 (Older Adults),Developing
108,109,22,Male,Mexico,YouTube,229,8,Gaming,15,48,Evening,6,4,Entertainment,Computer,8,2,At home,Wi-Fi,18-24 (Youth),Developing
109,110,59,Male,Germany,TikTok,167,12,Jokes/Memes,25,21,Night,3,7,Procrastination,Tablet,5,5,At work,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
110,111,56,Female,India,Instagram,13,2,Jokes/Memes,7,40,Night,3,7,Entertainment,Smartphone,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
111,112,58,Female,Brazil,Instagram,176,9,Pranks,28,31,Evening,6,4,Habit,Smartphone,8,2,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
112,113,45,Female,Vietnam,TikTok,213,15,Jokes/Memes,5,3,Evening,6,4,Procrastination,Smartphone,8,2,At work,Mobile Data,45-54 (Older Adults),Developing
113,114,24,Male,Indonesia,Facebook,203,2,Jokes/Memes,15,17,Evening,6,4,Boredom,Computer,8,2,At home,Wi-Fi,18-24 (Youth),Developing
114,115,26,Male,United States,TikTok,244,1,Entertainment,20,26,Night,3,7,Habit,Smartphone,5,5,At school,Mobile Data,25-44 (Young Adults),Developed
115,116,25,Male,Brazil,Facebook,215,10,Life Hacks,28,23,Night,3,7,Boredom,Smartphone,5,5,At school,Mobile Data,25-44 (Young Adults),Developing
116,117,29,Female,Philippines,TikTok,159,2,Entertainment,20,6,Evening,6,4,Habit,Smartphone,8,2,At work,Wi-Fi,25-44 (Young Adults),Developing
117,118,51,Male,United States,TikTok,168,12,Life Hacks,15,28,Evening,6,4,Habit,Smartphone,8,2,At work,Wi-Fi,45-54 (Older Adults),Developed
118,119,50,Other,India,TikTok,288,8,Life Hacks,10,8,Evening,6,4,Habit,Smartphone,8,2,At work,Mobile Data,45-54 (Older Adults),Developing
119,120,40,Female,Pakistan,Instagram,175,5,Gaming,24,45,Night,3,7,Habit,Smartphone,5,5,At home,Wi-Fi,35-44 (Mid Adults),Developing
120,121,41,Other,Vietnam,YouTube,77,1,Life Hacks,26,8,Night,3,7,Habit,Tablet,5,5,At work,Mobile Data,35-44 (Mid Adults),Developing
121,122,54,Other,Brazil,TikTok,97,15,Gaming,29,19,Night,3,7,Habit,Tablet,5,5,At home,Mobile Data,45-54 (Older Adults),Developing
122,123,52,Female,Mexico,Instagram,226,6,Trends,26,38,Evening,6,4,Habit,Smartphone,8,2,Commuting,Mobile Data,45-54 (Older Adults),Developing
123,124,61,Other,India,YouTube,10,12,Comedy,14,29,Evening,6,4,Boredom,Smartphone,8,2,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
124,125,57,Male,United States,YouTube,144,8,ASMR,26,23,Night,3,7,Boredom,Smartphone,5,5,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
125,126,39,Female,India,TikTok,194,13,Gaming,26,47,Evening,6,4,Entertainment,Tablet,8,2,At school,Mobile Data,35-44 (Mid Adults),Developing
126,127,44,Female,Brazil,Facebook,149,19,Pranks,10,32,Night,3,7,Habit,Computer,5,5,At school,Mobile Data,35-44 (Mid Adults),Developing
127,128,52,Male,Mexico,Facebook,115,1,Pranks,17,10,Night,3,7,Boredom,Smartphone,5,5,At school,Wi-Fi,45-54 (Older Adults),Developing
128,129,18,Other,Philippines,Facebook,142,11,Vlogs,21,27,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Wi-Fi,18-24 (Youth),Developing
129,130,52,Female,Indonesia,TikTok,117,1,Jokes/Memes,14,49,Evening,6,4,Habit,Tablet,8,2,At home,Wi-Fi,45-54 (Older Adults),Developing
130,131,54,Male,United States,Facebook,187,8,Vlogs,2,1,Evening,6,4,Habit,Smartphone,8,2,At home,Mobile Data,45-54 (Older Adults),Developed
131,132,64,Male,Indonesia,Instagram,155,5,Life Hacks,16,39,Night,3,7,Procrastination,Smartphone,5,5,At home,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
132,133,31,Female,India,Instagram,83,17,ASMR,13,29,Night,3,7,Entertainment,Tablet,5,5,Commuting,Mobile Data,25-44 (Young Adults),Developing
133,134,20,Male,India,Instagram,117,8,Vlogs,27,45,Afternoon,5,5,Entertainment,Smartphone,7,3,At school,Mobile Data,18-24 (Youth),Developing
134,135,18,Female,Brazil,Instagram,131,10,Entertainment,9,3,Afternoon,5,5,Procrastination,Smartphone,7,3,At home,Mobile Data,18-24 (Youth),Developing
135,136,22,Female,Brazil,YouTube,26,2,Life Hacks,7,47,Evening,6,4,Entertainment,Computer,8,2,At home,Mobile Data,18-24 (Youth),Developing
136,137,43,Female,Pakistan,Instagram,205,9,Trends,16,37,Night,3,7,Boredom,Smartphone,5,5,At home,Mobile Data,35-44 (Mid Adults),Developing
137,138,31,Female,Germany,Facebook,261,3,Entertainment,10,31,Night,3,7,Entertainment,Tablet,5,5,At work,Mobile Data,25-44 (Young Adults),Developed
138,139,56,Male,Pakistan,TikTok,128,18,Life Hacks,24,11,Morning,8,2,Boredom,Tablet,10,0,Commuting,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
139,140,44,Male,India,Facebook,171,7,Life Hacks,22,22,Afternoon,5,5,Procrastination,Computer,7,3,At school,Wi-Fi,35-44 (Mid Adults),Developing
140,141,26,Female,India,Instagram,207,15,Jokes/Memes,9,18,Afternoon,5,5,Habit,Tablet,7,3,At work,Mobile Data,25-44 (Young Adults),Developing
141,142,32,Male,India,YouTube,54,18,Gaming,22,35,Evening,6,4,Procrastination,Smartphone,8,2,At home,Mobile Data,25-44 (Young Adults),Developing
142,143,32,Female,Pakistan,Instagram,188,3,Life Hacks,23,6,Evening,6,4,Habit,Smartphone,8,2,At school,Mobile Data,25-44 (Young Adults),Developing
143,144,43,Female,Mexico,TikTok,53,14,Pranks,7,3,Night,3,7,Entertainment,Smartphone,5,5,Commuting,Mobile Data,35-44 (Mid Adults),Developing
144,145,59,Male,Mexico,Facebook,280,2,Life Hacks,16,5,Morning,8,2,Entertainment,Smartphone,10,0,At work,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
145,146,30,Other,India,TikTok,87,14,Life Hacks,9,9,Evening,6,4,Habit,Tablet,8,2,Commuting,Mobile Data,25-44 (Young Adults),Developing
146,147,49,Male,Vietnam,TikTok,187,11,Life Hacks,27,28,Night,3,7,Procrastination,Smartphone,5,5,At work,Mobile Data,45-54 (Older Adults),Developing
147,148,56,Male,Germany,TikTok,12,16,Jokes/Memes,24,19,Morning,8,2,Procrastination,Smartphone,10,0,At home,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
148,149,49,Other,Mexico,Facebook,223,8,Vlogs,29,28,Evening,6,4,Boredom,Smartphone,8,2,At home,Wi-Fi,45-54 (Older Adults),Developing
149,150,21,Male,Japan,Instagram,83,7,Trends,17,27,Evening,6,4,Habit,Smartphone,8,2,At school,Mobile Data,18-24 (Youth),Developed
150,151,47,Other,United States,TikTok,60,11,Entertainment,20,13,Afternoon,5,5,Habit,Smartphone,7,3,At home,Mobile Data,45-54 (Older Adults),Developed
151,152,54,Male,India,Facebook,76,3,Gaming,7,38,Night,3,7,Habit,Tablet,5,5,At home,Mobile Data,45-54 (Older Adults),Developing
152,153,40,Male,India,YouTube,102,17,Life Hacks,11,43,Evening,6,4,Entertainment,Smartphone,8,2,At home,Mobile Data,35-44 (Mid Adults),Developing
153,154,56,Other,India,Facebook,185,14,Trends,8,21,Afternoon,5,5,Habit,Smartphone,7,3,At home,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
154,155,62,Male,United States,YouTube,154,6,Entertainment,7,27,Night,3,7,Boredom,Smartphone,5,5,At school,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
155,156,32,Male,United States,Facebook,16,8,Vlogs,28,46,Afternoon,5,5,Boredom,Smartphone,7,3,At home,Mobile Data,25-44 (Young Adults),Developed
156,157,60,Female,Japan,Instagram,278,5,Pranks,19,6,Night,3,7,Boredom,Smartphone,5,5,At work,Wi-Fi,55-64 (Seniors/Pre-retirement),Developed
157,158,46,Other,Pakistan,TikTok,13,8,Pranks,20,38,Night,3,7,Boredom,Tablet,5,5,At school,Mobile Data,45-54 (Older Adults),Developing
158,159,53,Female,Vietnam,Instagram,147,2,Jokes/Memes,12,49,Evening,6,4,Procrastination,Computer,8,2,At school,Mobile Data,45-54 (Older Adults),Developing
159,160,30,Other,India,Facebook,240,15,Jokes/Memes,7,11,Evening,6,4,Entertainment,Smartphone,8,2,Commuting,Mobile Data,25-44 (Young Adults),Developing
160,161,49,Male,India,TikTok,97,12,Life Hacks,8,47,Afternoon,5,5,Entertainment,Tablet,7,3,At work,Wi-Fi,45-54 (Older Adults),Developing
161,162,24,Male,Indonesia,YouTube,26,17,Trends,7,41,Afternoon,5,5,Habit,Smartphone,7,3,At home,Wi-Fi,18-24 (Youth),Developing
162,163,39,Other,Japan,Facebook,61,1,Gaming,6,17,Night,3,7,Boredom,Smartphone,5,5,At work,Mobile Data,35-44 (Mid Adults),Developed
163,164,45,Male,India,TikTok,143,15,Entertainment,25,39,Evening,6,4,Entertainment,Smartphone,8,2,At home,Mobile Data,45-54 (Older Adults),Developing
164,165,19,Male,Japan,YouTube,220,14,Jokes/Memes,9,7,Evening,6,4,Boredom,Smartphone,8,2,Commuting,Mobile Data,18-24 (Youth),Developed
